cutoff,completers_only,epsilon,n,protocol,mean_evidence_burden,coverage,risk,accuracy,brier,auc
60,false,0.20,6505,OBE_style_score_baseline,1.000000,1.000000,0.270715,0.729285,0.188307,0.780113
60,false,0.20,6505,enhanced_fixed_all_evidence,6.000000,1.000000,0.248578,0.751422,0.171538,0.827141
60,false,0.20,6505,RBE_adaptive_resolved,3.601998,0.527902,0.174723,0.825277,0.143332,0.816067
60,false,0.20,6505,fixed_matched_budget_prefix,4.000000,1.000000,0.247963,0.752037,0.171978,0.825981
90,false,0.20,6505,OBE_style_score_baseline,1.000000,1.000000,0.245196,0.754804,0.163106,0.829954
90,false,0.20,6505,enhanced_fixed_all_evidence,6.000000,1.000000,0.231975,0.768025,0.152356,0.857928
90,false,0.20,6505,RBE_adaptive_resolved,3.967871,0.444581,0.083679,0.916321,0.071326,0.943619
90,false,0.20,6505,fixed_matched_budget_prefix,4.000000,1.000000,0.230899,0.769101,0.152541,0.857589
120,false,0.20,6505,OBE_style_score_baseline,1.000000,1.000000,0.239662,0.760338,0.159473,0.834737
120,false,0.20,6505,enhanced_fixed_all_evidence,6.000000,1.000000,0.214297,0.785703,0.140343,0.880163
120,false,0.20,6505,RBE_adaptive_resolved,3.633205,0.527287,0.088047,0.911953,0.074874,0.940931
120,false,0.20,6505,fixed_matched_budget_prefix,4.000000,1.000000,0.216141,0.783859,0.141077,0.879183
120,true,0.20,4491,OBE_style_score_baseline,1.000000,1.000000,0.239813,0.760187,0.165082,0.772548
120,true,0.20,4491,enhanced_fixed_all_evidence,6.000000,1.000000,0.227344,0.772656,0.154171,0.816756
120,true,0.20,4491,RBE_adaptive_resolved,2.955689,0.641283,0.138889,0.861111,0.117375,0.782083
120,true,0.20,4491,fixed_matched_budget_prefix,3.000000,1.000000,0.228457,0.771543,0.155218,0.813453
