test,cutoff,completers_only,epsilon,n,risk,coverage,mean_burden
RBE_adaptive,60,False,0.1,6505,0.093333,0.069178,5.750807
fixed_all_confidence_matched_coverage,60,False,0.1,6505,0.097778,0.069178,6.000000
random_order_mean,60,False,0.1,6505,0.094101,0.072713,5.799115
random_order_best_risk,60,False,0.1,6505,0.082774,0.068716,5.809070
RBE_adaptive,60,False,0.2,6505,0.174723,0.527902,3.601998
fixed_all_confidence_matched_coverage,60,False,0.2,6505,0.148224,0.527902,6.000000
random_order_mean,60,False,0.2,6505,0.174414,0.535700,3.734878
random_order_best_risk,60,False,0.2,6505,0.172800,0.534666,3.801230
RBE_adaptive,60,True,0.1,4491,0.091314,0.199955,5.225785
fixed_all_confidence_matched_coverage,60,True,0.1,4491,0.075724,0.199955,6.000000
random_order_mean,60,True,0.1,4491,0.094279,0.207479,5.374580
random_order_best_risk,60,True,0.1,4491,0.089814,0.203295,5.233356
RBE_adaptive,60,True,0.2,4491,0.151712,0.513694,3.643287
fixed_all_confidence_matched_coverage,60,True,0.2,4491,0.152146,0.513694,6.000000
random_order_mean,60,True,0.2,4491,0.156031,0.527355,3.725890
random_order_best_risk,60,True,0.2,4491,0.151042,0.513026,3.687375
RBE_adaptive,90,False,0.1,6505,0.017417,0.255957,4.776172
fixed_all_confidence_matched_coverage,90,False,0.1,6505,0.018018,0.255957,6.000000
random_order_mean,90,False,0.1,6505,0.019290,0.260088,4.788698
random_order_best_risk,90,False,0.1,6505,0.016949,0.253958,4.832744
RBE_adaptive,90,False,0.2,6505,0.083679,0.444581,3.967871
fixed_all_confidence_matched_coverage,90,False,0.2,6505,0.072960,0.444581,6.000000
random_order_mean,90,False,0.2,6505,0.086723,0.454164,4.047636
random_order_best_risk,90,False,0.2,6505,0.083190,0.445350,3.973559
RBE_adaptive,90,True,0.1,4491,0.074106,0.261412,4.903585
fixed_all_confidence_matched_coverage,90,True,0.1,4491,0.056218,0.261412,6.000000
random_order_mean,90,True,0.1,4491,0.077118,0.270403,5.030167
random_order_best_risk,90,True,0.1,4491,0.074043,0.261634,4.916277
RBE_adaptive,90,True,0.2,4491,0.129963,0.594522,3.168114
fixed_all_confidence_matched_coverage,90,True,0.2,4491,0.137079,0.594522,6.000000
random_order_mean,90,True,0.2,4491,0.134026,0.607021,3.226417
random_order_best_risk,90,True,0.2,4491,0.129768,0.595413,3.177243
RBE_adaptive,120,False,0.1,6505,0.022761,0.310684,4.581706
fixed_all_confidence_matched_coverage,120,False,0.1,6505,0.023256,0.310684,6.000000
random_order_mean,120,False,0.1,6505,0.023837,0.314746,4.640128
random_order_best_risk,120,False,0.1,6505,0.021750,0.310992,4.659954
RBE_adaptive,120,False,0.2,6505,0.088047,0.527287,3.633205
fixed_all_confidence_matched_coverage,120,False,0.2,6505,0.073178,0.527287,6.000000
random_order_mean,120,False,0.2,6505,0.089970,0.538646,3.735603
random_order_best_risk,120,False,0.2,6505,0.087678,0.527748,3.667794
RBE_adaptive,120,True,0.1,4491,0.075558,0.338900,4.544645
fixed_all_confidence_matched_coverage,120,True,0.1,4491,0.056505,0.338900,6.000000
random_order_mean,120,True,0.1,4491,0.077200,0.349782,4.660937
random_order_best_risk,120,True,0.1,4491,0.073879,0.337564,4.577377
RBE_adaptive,120,True,0.2,4491,0.138889,0.641283,2.955689
fixed_all_confidence_matched_coverage,120,True,0.2,4491,0.129514,0.641283,6.000000
random_order_mean,120,True,0.2,4491,0.141885,0.652057,3.010559
random_order_best_risk,120,True,0.2,4491,0.137378,0.638611,2.973948
